"Release Site Name","Brood Year","Total Released","CWT and AFC","AFC only","Unmarked","% CWT and AFC","% AFC only","% umarked","Total % marked"
"San Juan R",1979,39555,39128,197,230,98.9,0.5,0.6,99.4
"Harris Cr/SWVI",1981,187527,97454,5606,84467,52,3,45,55
"Harris Cr/SWVI",1982,148677,49868,1809,97000,33.5,1.2,65.2,34.8
"Harris Cr/SWVI",1987,373091,104828,263,268000,28.1,0.1,71.8,28.2
"San Juan R",1988,104904,103855,1049,0,99,1,0,100
"Harris Cr/SWVI",1992,138071,135871,0,2200,98.4,0,1.6,98.4
"San Juan R",1993,750000,50700,0,699300,6.8,0,93.2,6.8
"San Juan R",1994,670000,50716,0,619284,7.6,0,92.4,7.6
"Harris Cr/SWVI",1999,850000,75150,252,774598,8.8,0,91.1,8.9
"Fairy Lk",2000,224429,75429,0,149000,33.6,0,66.4,33.6
"San Juan R",2001,785000,75242,0,709758,9.6,0,90.4,9.6
"Port Renfrew",2013,45000,45000,0,0,100,0,0,100
"Port Renfrew",2014,37435,37410,25,0,99.9,0.1,0,100
"Port Renfrew",2015,44754,44486,268,0,99.4,0.6,0,100
"Port Renfrew",2016,48411,48411,0,0,100,0,0,100
"Port Renfrew",2017,45529,45075,454,0,99,1,0,100
