"BROOD_YEAR","FACILITY_NAME","CWT_AD","AD_only","unmarked","tags_lost","total_release","CWT_AD %","AD_only %","unmarked %"
1995,"San Juan River H",0,0,600000,0,600000,0,0,100
1996,"San Juan River H",0,0,410000,0,410000,0,0,100
1997,"San Juan River H",0,0,275000,0,275000,0,0,100
1998,"San Juan River H",0,0,1275000,0,1275000,0,0,100
1999,"San Juan River H",75150,0,774598,252,850000,9,0,91
2000,"San Juan River H",75429,0,149000,0,224429,34,0,66
2001,"San Juan River H",75242,0,709758,0,785000,10,0,90
2002,"San Juan River H",0,0,772052,0,772052,0,0,100
2003,"Port Renfrew Seapen",0,0,10172,0,10172,0,0,100
2003,"San Juan River H",0,0,1064000,0,1064000,0,0,100
2004,"Port Renfrew Seapen",0,0,20000,0,20000,0,0,100
2004,"San Juan River H",0,0,980000,0,980000,0,0,100
2005,"Port Renfrew Seapen",0,0,27775,0,27775,0,0,100
2005,"San Juan River H",0,0,345500,0,345500,0,0,100
2006,"Port Renfrew Seapen",0,0,35253,0,35253,0,0,100
2006,"San Juan River H",0,0,949902,0,949902,0,0,100
2007,"Port Renfrew Seapen",0,0,18510,0,18510,0,0,100
2007,"San Juan River H",0,0,500000,0,500000,0,0,100
2008,"Port Renfrew Seapen",0,0,39450,0,39450,0,0,100
2008,"San Juan River H",0,0,906200,0,906200,0,0,100
2009,"Port Renfrew Seapen",0,0,38800,0,38800,0,0,100
2009,"San Juan River H",0,0,1000000,0,1000000,0,0,100
2010,"Port Renfrew Seapen",0,0,40000,0,40000,0,0,100
2010,"San Juan River H",0,0,800000,0,800000,0,0,100
2011,"Port Renfrew Seapen",0,0,10000,0,10000,0,0,100
2011,"San Juan River H",0,0,235000,0,235000,0,0,100
2012,"Port Renfrew Seapen",0,0,41800,0,41800,0,0,100
2012,"San Juan River H",0,0,990000,0,990000,0,0,100
2013,"Port Renfrew Seapen",45000,0,0,0,45000,100,0,0
2013,"San Juan River H",0,0,274000,0,274000,0,0,100
2014,"Port Renfrew Seapen",37410,25,0,0,37435,100,0,0
2014,"San Juan River H",0,0,200000,0,200000,0,0,100
2015,"Port Renfrew Seapen",44486,0,0,268,44754,99,0,0
2015,"San Juan River H",0,0,174598,0,174598,0,0,100
2016,"Port Renfrew Seapen",48411,0,0,0,48411,100,0,0
2016,"San Juan River H",0,0,494445,0,494445,0,0,100
2017,"Port Renfrew Seapen",45075,0,0,454,45529,99,0,0
2017,"San Juan River H",0,0,204370,0,204370,0,0,100
2018,"Fairy Lakepen",0,0,66794,0,66794,0,0,100
2019,"San Juan River H",0,0,184597,0,184597,0,0,100
2020,"San Juan River H",0,0,422512,0,422512,0,0,100
